activity_period,operating_airline,operating_airline_iata_code,geo_summary,geo_region,adjusted_passenger_count,year,month
2005-07-01,ATA Airlines,TZ,Domestic,US,27271,2005,July
2005-07-01,ATA Airlines,TZ,Domestic,US,29131,2005,July
2005-07-01,ATA Airlines,TZ,Domestic,US,10830,2005,July
2005-07-01,Air Canada ,AC,International,Canada,35156,2005,July
2005-07-01,Air Canada ,AC,International,Canada,34090,2005,July
2005-07-01,Air China,CA,International,Asia,6263,2005,July
2005-07-01,Air China,CA,International,Asia,5500,2005,July
2005-07-01,Air France,AF,International,Europe,12050,2005,July
2005-07-01,Air France,AF,International,Europe,11638,2005,July
2005-07-01,Air New Zealand,NZ,International,Australia / Oceania,4998,2005,July
2005-07-01,Air New Zealand,NZ,International,Australia / Oceania,4962,2005,July
2005-07-01,AirTran Airways,FL,Domestic,US,8055,2005,July
2005-07-01,AirTran Airways,FL,Domestic,US,7984,2005,July
2005-07-01,Alaska Airlines,AS,Domestic,US,36641,2005,July
2005-07-01,Alaska Airlines,AS,Domestic,US,39379,2005,July
2005-07-01,Alaska Airlines,AS,Domestic,US,7356,2005,July
2005-07-01,Alaska Airlines,AS,International,Canada,7977,2005,July
2005-07-01,Alaska Airlines,AS,International,Canada,8837,2005,July
2005-07-01,Alaska Airlines,AS,International,Mexico,6969,2005,July
2005-07-01,Alaska Airlines,AS,International,Mexico,10046,2005,July
2005-07-01,Alaska Airlines,AS,International,Mexico,4532,2005,July
2005-07-01,All Nippon Airways,NH,International,Asia,6545,2005,July
2005-07-01,All Nippon Airways,NH,International,Asia,6094,2005,July
2005-07-01,American Airlines,AA,Domestic,US,166577,2005,July
2005-07-01,American Airlines,AA,Domestic,US,160890,2005,July
2005-07-01,American Eagle Airlines,MQ,Domestic,US,5493,2005,July
2005-07-01,American Eagle Airlines,MQ,Domestic,US,5213,2005,July
2005-07-01,Asiana Airlines,OZ,International,Asia,5041,2005,July
2005-07-01,Asiana Airlines,OZ,International,Asia,4744,2005,July
2005-07-01,Atlantic Southeast Airlines,EV,Domestic,US,1552,2005,July
2005-07-01,Atlantic Southeast Airlines,EV,Domestic,US,1484,2005,July
2005-07-01,BelAir Airlines,4T,International,Europe,325,2005,July
2005-07-01,BelAir Airlines,4T,International,Europe,545,2005,July
2005-07-01,British Airways,BA,International,Europe,20632,2005,July
2005-07-01,British Airways,BA,International,Europe,21686,2005,July
2005-07-01,Cathay Pacific,CX,International,Asia,11010,2005,July
2005-07-01,Cathay Pacific,CX,International,Asia,9628,2005,July
2005-07-01,China Airlines,CI,International,Asia,13638,2005,July
2005-07-01,China Airlines,CI,International,Asia,11255,2005,July
2005-07-01,Delta Air Lines,DL,Domestic,US,97510,2005,July
2005-07-01,Delta Air Lines,DL,Domestic,US,93791,2005,July
2005-07-01,EVA Airways,BR,International,Asia,14142,2005,July
2005-07-01,EVA Airways,BR,International,Asia,12132,2005,July
2005-07-01,Frontier Airlines,F9,Domestic,US,19234,2005,July
2005-07-01,Frontier Airlines,F9,Domestic,US,18368,2005,July
2005-07-01,Hawaiian Airlines,HA,Domestic,US,7579,2005,July
2005-07-01,Hawaiian Airlines,HA,Domestic,US,7658,2005,July
2005-07-01,Horizon Air ,QX,Domestic,US,5284,2005,July
2005-07-01,Horizon Air ,QX,Domestic,US,5257,2005,July
2005-07-01,Icelandair,FI,International,Europe,4540,2005,July
2005-07-01,Icelandair,FI,International,Europe,4341,2005,July
2005-07-01,Independence Air,DH,Domestic,US,10843,2005,July
2005-07-01,Independence Air,DH,Domestic,US,10967,2005,July
2005-07-01,Japan Airlines,JL,International,Asia,9195,2005,July
2005-07-01,Japan Airlines,JL,International,Asia,9086,2005,July
2005-07-01,KLM Royal Dutch Airlines,KL,International,Europe,9978,2005,July
2005-07-01,KLM Royal Dutch Airlines,KL,International,Europe,9587,2005,July
2005-07-01,Korean Air Lines,KE,International,Asia,6153,2005,July
2005-07-01,Korean Air Lines,KE,International,Asia,5646,2005,July
2005-07-01,Lufthansa German Airlines,LH,International,Europe,22389,2005,July
2005-07-01,Lufthansa German Airlines,LH,International,Europe,20511,2005,July
2005-07-01,Mesa Airlines,YV,Domestic,US,2636,2005,July
2005-07-01,Mesa Airlines,YV,Domestic,US,2535,2005,July
2005-07-01,Mexicana Airlines,MX,International,Mexico,7751,2005,July
2005-07-01,Mexicana Airlines,MX,International,Mexico,7845,2005,July
2005-07-01,Midwest Airlines,YX,Domestic,US,1797,2005,July
2005-07-01,Midwest Airlines,YX,Domestic,US,3238,2005,July
2005-07-01,Northwest Airlines,NW,Domestic,US,64231,2005,July
2005-07-01,Northwest Airlines,NW,Domestic,US,62049,2005,July
2005-07-01,Northwest Airlines,NW,International,Asia,7229,2005,July
2005-07-01,Northwest Airlines,NW,International,Asia,6554,2005,July
2005-07-01,Philippine Airlines,PR,International,Asia,12828,2005,July
2005-07-01,Philippine Airlines,PR,International,Asia,10269,2005,July
2005-07-01,Singapore Airlines,SQ,International,Asia,19211,2005,July
2005-07-01,Singapore Airlines,SQ,International,Asia,17462,2005,July
2005-07-01,SkyWest Airlines,OO,Domestic,US,7262,2005,July
2005-07-01,SkyWest Airlines,OO,Domestic,US,6586,2005,July
2005-07-01,SkyWest Airlines,OO,Domestic,US,103279,2005,July
2005-07-01,SkyWest Airlines,OO,Domestic,US,102023,2005,July
2005-07-01,SkyWest Airlines,OO,International,Canada,3688,2005,July
2005-07-01,SkyWest Airlines,OO,International,Canada,3633,2005,July
2005-07-01,Sun Country Airlines,SY,Domestic,US,4827,2005,July
2005-07-01,Sun Country Airlines,SY,Domestic,US,4784,2005,July
2005-07-01,TACA,TA,International,Central America,6324,2005,July
2005-07-01,TACA,TA,International,Central America,7031,2005,July
2005-07-01,US Airways,US ,Domestic,US,46042,2005,July
2005-07-01,US Airways,US ,Domestic,US,45553,2005,July
2005-07-01,US Airways,US ,Domestic,US,38951,2005,July
2005-07-01,US Airways,US ,Domestic,US,37848,2005,July
2005-07-01,United Airlines,UA,Domestic,US,62178,2005,July
2005-07-01,United Airlines,UA,Domestic,US,60939,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,58767,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,58277,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,443656,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,421802,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,22776,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,International,Asia,77658,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,International,Asia,68278,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,International,Asia,7906,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,8603,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,8234,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,2770,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,International,Canada,12874,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,International,Canada,12085,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,International,Canada,20,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,International,Europe,30796,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,International,Europe,29283,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,International,Europe,1776,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,International,Mexico,9537,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,International,Mexico,9672,2005,July
2005-07-01,United Airlines - Pre 07/01/2013,UA,International,Mexico,90,2005,July
2005-07-01,Virgin Atlantic,VS,International,Europe,11684,2005,July
2005-07-01,Virgin Atlantic,VS,International,Europe,10771,2005,July
2005-07-01,WestJet Airlines,WS,International,Canada,2480,2005,July
2005-07-01,WestJet Airlines,WS,International,Canada,2211,2005,July
2005-08-01,ATA Airlines,TZ,Domestic,US,27472,2005,August
2005-08-01,ATA Airlines,TZ,Domestic,US,26535,2005,August
2005-08-01,ATA Airlines,TZ,Domestic,US,11424,2005,August
2005-08-01,Air Canada ,AC,International,Canada,34878,2005,August
2005-08-01,Air Canada ,AC,International,Canada,34105,2005,August
2005-08-01,Air China,CA,International,Asia,4204,2005,August
2005-08-01,Air China,CA,International,Asia,3923,2005,August
2005-08-01,Air France,AF,International,Europe,11230,2005,August
2005-08-01,Air France,AF,International,Europe,11731,2005,August
2005-08-01,Air New Zealand,NZ,International,Australia / Oceania,4672,2005,August
2005-08-01,Air New Zealand,NZ,International,Australia / Oceania,4006,2005,August
2005-08-01,AirTran Airways,FL,Domestic,US,7796,2005,August
2005-08-01,AirTran Airways,FL,Domestic,US,7737,2005,August
2005-08-01,Alaska Airlines,AS,Domestic,US,40431,2005,August
2005-08-01,Alaska Airlines,AS,Domestic,US,39595,2005,August
2005-08-01,Alaska Airlines,AS,Domestic,US,3804,2005,August
2005-08-01,Alaska Airlines,AS,International,Canada,8901,2005,August
2005-08-01,Alaska Airlines,AS,International,Canada,9020,2005,August
2005-08-01,Alaska Airlines,AS,International,Mexico,7541,2005,August
2005-08-01,Alaska Airlines,AS,International,Mexico,9333,2005,August
2005-08-01,Alaska Airlines,AS,International,Mexico,3804,2005,August
2005-08-01,All Nippon Airways,NH,International,Asia,6739,2005,August
2005-08-01,All Nippon Airways,NH,International,Asia,5966,2005,August
2005-08-01,American Airlines,AA,Domestic,US,162064,2005,August
2005-08-01,American Airlines,AA,Domestic,US,157700,2005,August
2005-08-01,American Eagle Airlines,MQ,Domestic,US,5233,2005,August
2005-08-01,American Eagle Airlines,MQ,Domestic,US,4866,2005,August
2005-08-01,Asiana Airlines,OZ,International,Asia,4099,2005,August
2005-08-01,Asiana Airlines,OZ,International,Asia,3376,2005,August
2005-08-01,Atlantic Southeast Airlines,EV,Domestic,US,1735,2005,August
2005-08-01,Atlantic Southeast Airlines,EV,Domestic,US,1560,2005,August
2005-08-01,BelAir Airlines,4T,International,Europe,353,2005,August
2005-08-01,BelAir Airlines,4T,International,Europe,751,2005,August
2005-08-01,Boeing Company,,Domestic,US,18,2005,August
2005-08-01,British Airways,BA,International,Europe,20312,2005,August
2005-08-01,British Airways,BA,International,Europe,20084,2005,August
2005-08-01,Cathay Pacific,CX,International,Asia,11753,2005,August
2005-08-01,Cathay Pacific,CX,International,Asia,9050,2005,August
2005-08-01,China Airlines,CI,International,Asia,14610,2005,August
2005-08-01,China Airlines,CI,International,Asia,10972,2005,August
2005-08-01,Delta Air Lines,DL,Domestic,US,97343,2005,August
2005-08-01,Delta Air Lines,DL,Domestic,US,97160,2005,August
2005-08-01,EVA Airways,BR,International,Asia,13524,2005,August
2005-08-01,EVA Airways,BR,International,Asia,11950,2005,August
2005-08-01,Frontier Airlines,F9,Domestic,US,17109,2005,August
2005-08-01,Frontier Airlines,F9,Domestic,US,17186,2005,August
2005-08-01,Hawaiian Airlines,HA,Domestic,US,7923,2005,August
2005-08-01,Hawaiian Airlines,HA,Domestic,US,7751,2005,August
2005-08-01,Horizon Air ,QX,Domestic,US,5572,2005,August
2005-08-01,Horizon Air ,QX,Domestic,US,5268,2005,August
2005-08-01,Icelandair,FI,International,Europe,4691,2005,August
2005-08-01,Icelandair,FI,International,Europe,4355,2005,August
2005-08-01,Independence Air,DH,Domestic,US,9191,2005,August
2005-08-01,Independence Air,DH,Domestic,US,9850,2005,August
2005-08-01,Japan Airlines,JL,International,Asia,9296,2005,August
2005-08-01,Japan Airlines,JL,International,Asia,7913,2005,August
2005-08-01,KLM Royal Dutch Airlines,KL,International,Europe,9666,2005,August
2005-08-01,KLM Royal Dutch Airlines,KL,International,Europe,9881,2005,August
2005-08-01,Korean Air Lines,KE,International,Asia,8856,2005,August
2005-08-01,Korean Air Lines,KE,International,Asia,7164,2005,August
2005-08-01,Lufthansa German Airlines,LH,International,Europe,21512,2005,August
2005-08-01,Lufthansa German Airlines,LH,International,Europe,21881,2005,August
2005-08-01,Mesa Airlines,YV,Domestic,US,2725,2005,August
2005-08-01,Mesa Airlines,YV,Domestic,US,2546,2005,August
2005-08-01,Mexicana Airlines,MX,International,Mexico,7156,2005,August
2005-08-01,Mexicana Airlines,MX,International,Mexico,5946,2005,August
2005-08-01,Midwest Airlines,YX,Domestic,US,1552,2005,August
2005-08-01,Midwest Airlines,YX,Domestic,US,3382,2005,August
2005-08-01,Northwest Airlines,NW,Domestic,US,56501,2005,August
2005-08-01,Northwest Airlines,NW,Domestic,US,56674,2005,August
2005-08-01,Northwest Airlines,NW,International,Asia,7107,2005,August
2005-08-01,Northwest Airlines,NW,International,Asia,6522,2005,August
2005-08-01,Philippine Airlines,PR,International,Asia,12856,2005,August
2005-08-01,Philippine Airlines,PR,International,Asia,8718,2005,August
2005-08-01,Singapore Airlines,SQ,International,Asia,19192,2005,August
2005-08-01,Singapore Airlines,SQ,International,Asia,17118,2005,August
2005-08-01,SkyWest Airlines,OO,Domestic,US,7052,2005,August
2005-08-01,SkyWest Airlines,OO,Domestic,US,6652,2005,August
2005-08-01,SkyWest Airlines,OO,Domestic,US,102899,2005,August
2005-08-01,SkyWest Airlines,OO,Domestic,US,103188,2005,August
2005-08-01,SkyWest Airlines,OO,International,Canada,3672,2005,August
2005-08-01,SkyWest Airlines,OO,International,Canada,3570,2005,August
2005-08-01,Sun Country Airlines,SY,Domestic,US,4720,2005,August
2005-08-01,Sun Country Airlines,SY,Domestic,US,4717,2005,August
2005-08-01,TACA,TA,International,Central America,7357,2005,August
2005-08-01,TACA,TA,International,Central America,5128,2005,August
2005-08-01,US Airways,US ,Domestic,US,42622,2005,August
2005-08-01,US Airways,US ,Domestic,US,44508,2005,August
2005-08-01,US Airways,US ,Domestic,US,40712,2005,August
2005-08-01,US Airways,US ,Domestic,US,40322,2005,August
2005-08-01,United Airlines,UA,Domestic,US,61872,2005,August
2005-08-01,United Airlines,UA,Domestic,US,61768,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,55842,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,27930,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,56087,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,26098,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,1352,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,420430,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,398135,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,23170,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,International,Asia,79131,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,International,Asia,68861,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,International,Asia,8118,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,8903,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,7874,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,2950,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,International,Canada,13895,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,International,Canada,12145,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,International,Europe,29236,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,International,Europe,29920,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,International,Europe,1726,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,International,Mexico,9397,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,International,Mexico,9275,2005,August
2005-08-01,United Airlines - Pre 07/01/2013,UA,International,Mexico,156,2005,August
2005-08-01,Virgin Atlantic,VS,International,Europe,10685,2005,August
2005-08-01,Virgin Atlantic,VS,International,Europe,11072,2005,August
2005-08-01,WestJet Airlines,WS,International,Canada,2300,2005,August
2005-08-01,WestJet Airlines,WS,International,Canada,2251,2005,August
2005-09-01,ATA Airlines,TZ,Domestic,US,17341,2005,September
2005-09-01,ATA Airlines,TZ,Domestic,US,18541,2005,September
2005-09-01,ATA Airlines,TZ,Domestic,US,8824,2005,September
2005-09-01,Air Canada ,AC,International,Canada,24473,2005,September
2005-09-01,Air Canada ,AC,International,Canada,26120,2005,September
2005-09-01,Air China,CA,International,Asia,4416,2005,September
2005-09-01,Air China,CA,International,Asia,4568,2005,September
2005-09-01,Air France,AF,International,Europe,10731,2005,September
2005-09-01,Air France,AF,International,Europe,11337,2005,September
2005-09-01,Air New Zealand,NZ,International,Australia / Oceania,4565,2005,September
2005-09-01,Air New Zealand,NZ,International,Australia / Oceania,4295,2005,September
2005-09-01,AirTran Airways,FL,Domestic,US,7057,2005,September
2005-09-01,AirTran Airways,FL,Domestic,US,6806,2005,September
2005-09-01,Alaska Airlines,AS,Domestic,US,31117,2005,September
2005-09-01,Alaska Airlines,AS,Domestic,US,33742,2005,September
2005-09-01,Alaska Airlines,AS,Domestic,US,7686,2005,September
2005-09-01,Alaska Airlines,AS,International,Canada,6635,2005,September
2005-09-01,Alaska Airlines,AS,International,Canada,7783,2005,September
2005-09-01,Alaska Airlines,AS,International,Canada,322,2005,September
2005-09-01,Alaska Airlines,AS,International,Mexico,5446,2005,September
2005-09-01,Alaska Airlines,AS,International,Mexico,7674,2005,September
2005-09-01,Alaska Airlines,AS,International,Mexico,3008,2005,September
2005-09-01,All Nippon Airways,NH,International,Asia,5875,2005,September
2005-09-01,All Nippon Airways,NH,International,Asia,5960,2005,September
2005-09-01,American Airlines,AA,Domestic,US,135043,2005,September
2005-09-01,American Airlines,AA,Domestic,US,135944,2005,September
2005-09-01,American Eagle Airlines,MQ,Domestic,US,4240,2005,September
2005-09-01,American Eagle Airlines,MQ,Domestic,US,4166,2005,September
2005-09-01,Asiana Airlines,OZ,International,Asia,4792,2005,September
2005-09-01,Asiana Airlines,OZ,International,Asia,5140,2005,September
2005-09-01,BelAir Airlines,4T,International,Europe,108,2005,September
2005-09-01,BelAir Airlines,4T,International,Europe,315,2005,September
2005-09-01,British Airways,BA,International,Europe,20455,2005,September
2005-09-01,British Airways,BA,International,Europe,20635,2005,September
2005-09-01,Cathay Pacific,CX,International,Asia,8370,2005,September
2005-09-01,Cathay Pacific,CX,International,Asia,9874,2005,September
2005-09-01,China Airlines,CI,International,Asia,9154,2005,September
2005-09-01,China Airlines,CI,International,Asia,9486,2005,September
2005-09-01,Delta Air Lines,DL,Domestic,US,17291,2005,September
2005-09-01,Delta Air Lines,DL,Domestic,US,68347,2005,September
2005-09-01,Delta Air Lines,DL,Domestic,US,17453,2005,September
2005-09-01,Delta Air Lines,DL,Domestic,US,67160,2005,September
2005-09-01,EVA Airways,BR,International,Asia,9931,2005,September
2005-09-01,EVA Airways,BR,International,Asia,10752,2005,September
2005-09-01,Frontier Airlines,F9,Domestic,US,13426,2005,September
2005-09-01,Frontier Airlines,F9,Domestic,US,12989,2005,September
2005-09-01,Hawaiian Airlines,HA,Domestic,US,7735,2005,September
2005-09-01,Hawaiian Airlines,HA,Domestic,US,7624,2005,September
2005-09-01,Horizon Air ,QX,Domestic,US,4648,2005,September
2005-09-01,Horizon Air ,QX,Domestic,US,4401,2005,September
2005-09-01,Icelandair,FI,International,Europe,1996,2005,September
2005-09-01,Icelandair,FI,International,Europe,1677,2005,September
2005-09-01,Independence Air,DH,Domestic,US,5218,2005,September
2005-09-01,Independence Air,DH,Domestic,US,5503,2005,September
2005-09-01,Japan Airlines,JL,International,Asia,7087,2005,September
2005-09-01,Japan Airlines,JL,International,Asia,8264,2005,September
2005-09-01,KLM Royal Dutch Airlines,KL,International,Europe,9562,2005,September
2005-09-01,KLM Royal Dutch Airlines,KL,International,Europe,9513,2005,September
2005-09-01,Korean Air Lines,KE,International,Asia,4344,2005,September
2005-09-01,Korean Air Lines,KE,International,Asia,3448,2005,September
2005-09-01,Lufthansa German Airlines,LH,International,Europe,20535,2005,September
2005-09-01,Lufthansa German Airlines,LH,International,Europe,21379,2005,September
2005-09-01,Mesa Airlines,YV,Domestic,US,1781,2005,September
2005-09-01,Mesa Airlines,YV,Domestic,US,1751,2005,September
2005-09-01,Mexicana Airlines,MX,International,Mexico,3986,2005,September
2005-09-01,Mexicana Airlines,MX,International,Mexico,4823,2005,September
2005-09-01,Midwest Airlines,YX,Domestic,US,2913,2005,September
2005-09-01,Midwest Airlines,YX,Domestic,US,2867,2005,September
2005-09-01,Northwest Airlines,NW,Domestic,US,48138,2005,September
2005-09-01,Northwest Airlines,NW,Domestic,US,47061,2005,September
2005-09-01,Northwest Airlines,NW,International,Asia,5857,2005,September
2005-09-01,Northwest Airlines,NW,International,Asia,5615,2005,September
2005-09-01,Philippine Airlines,PR,International,Asia,8323,2005,September
2005-09-01,Philippine Airlines,PR,International,Asia,7875,2005,September
2005-09-01,Singapore Airlines,SQ,International,Asia,15259,2005,September
2005-09-01,Singapore Airlines,SQ,International,Asia,14251,2005,September
2005-09-01,SkyWest Airlines,OO,Domestic,US,6356,2005,September
2005-09-01,SkyWest Airlines,OO,Domestic,US,6666,2005,September
2005-09-01,SkyWest Airlines,OO,Domestic,US,96832,2005,September
2005-09-01,SkyWest Airlines,OO,Domestic,US,95008,2005,September
2005-09-01,SkyWest Airlines,OO,International,Canada,3581,2005,September
2005-09-01,SkyWest Airlines,OO,International,Canada,3457,2005,September
2005-09-01,Sun Country Airlines,SY,Domestic,US,3686,2005,September
2005-09-01,Sun Country Airlines,SY,Domestic,US,3592,2005,September
2005-09-01,TACA,TA,International,Central America,3790,2005,September
2005-09-01,TACA,TA,International,Central America,3529,2005,September
2005-09-01,US Airways,US ,Domestic,US,35942,2005,September
2005-09-01,US Airways,US ,Domestic,US,36632,2005,September
2005-09-01,US Airways,US ,Domestic,US,34782,2005,September
2005-09-01,US Airways,US ,Domestic,US,34761,2005,September
2005-09-01,United Airlines,UA,Domestic,US,50133,2005,September
2005-09-01,United Airlines,UA,Domestic,US,49094,2005,September
2005-09-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,50351,2005,September
2005-09-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,24678,2005,September
2005-09-01,United Airlines - Pre 07/01/2013,UA,Domestic,US,50235,2005,September
