activity_period,adjusted_passenger_count
2005-07-31,3254797
2005-08-31,3224118
2005-09-30,2764519
2005-10-31,2798480
2005-11-30,2638631
2005-12-31,2696084
2006-01-31,2471712
2006-02-28,2247255
2006-03-31,2738730
2006-04-30,2792413
2006-05-31,2846400
2006-06-30,3091837
2006-07-31,3248908
2006-08-31,3165026
2006-09-30,2738319
2006-10-31,2851945
2006-11-30,2671437
2006-12-31,2717430
2007-01-31,2527036
2007-02-28,2323522
2007-03-31,2844144
2007-04-30,2891446
2007-05-31,3080467
2007-06-30,3286732
2007-07-31,3404925
2007-08-31,3459915
2007-09-30,2973709
2007-10-31,3146765
2007-11-30,2934915
2007-12-31,2917258
2008-01-31,2685375
2008-02-29,2613849
2008-03-31,3146970
2008-04-30,3048005
2008-05-31,3321383
2008-06-30,3466528
2008-07-31,3621751
2008-08-31,3629829
2008-09-30,3012836
2008-10-31,3133206
2008-11-30,2751947
2008-12-31,2970862
2009-01-31,2654860
2009-02-28,2368782
2009-03-31,2936292
2009-04-30,3035226
2009-05-31,3186209
2009-06-30,3432110
2009-07-31,3659471
2009-08-31,3659379
2009-09-30,3199046
2009-10-31,3259010
2009-11-30,2979513
2009-12-31,3083736
2010-01-31,2796566
2010-02-28,2524760
2010-03-31,3118364
2010-04-30,3151412
2010-05-31,3390714
2010-06-30,3626272
2010-07-31,3778957
2010-08-31,3785346
2010-09-30,3367415
2010-10-31,3502275
2010-11-30,3172057
2010-12-31,3177096
2011-01-31,2893972
2011-02-28,2619193
2011-03-31,3139089
2011-04-30,3209189
2011-05-31,3558021
2011-06-30,3777419
2011-07-31,3947019
2011-08-31,3930681
2011-09-30,3573533
2011-10-31,3611694
2011-11-30,3334801
2011-12-31,3450820
2012-01-31,3218600
2012-02-29,3005764
2012-03-31,3481078
2012-04-30,3569473
2012-05-31,3825332
2012-06-30,4112311
2012-07-31,4290086
2012-08-31,4362369
2012-09-30,3831358
2012-10-31,3849650
2012-11-30,3482422
2012-12-31,3448766
2013-01-31,3209356
2013-02-28,2968951
2013-03-31,3599968
2013-04-30,3609543
2013-05-31,3934899
2013-06-30,4155153
2013-07-31,4181115
2013-08-31,4351101
2013-09-30,3785479
2013-10-31,3926441
2013-11-30,3470482
2013-12-31,3819276
2014-01-31,3438136
2014-02-28,3081846
2014-03-31,3771574
2014-04-30,3887382
2014-05-31,4151403
2014-06-30,4327219
2014-07-31,4506218
2014-08-31,4525926
2014-09-30,3919485
2014-10-31,4059884
2014-11-30,3629119
2014-12-31,3856908
2015-01-31,3551072
2015-02-28,3248534
2015-03-31,4002732
2015-04-30,4022770
2015-05-31,4361622
2015-06-30,4559640
2015-07-31,4802431
2015-08-31,4797484
2015-09-30,4201882
2015-10-31,4375077
2015-11-30,4014388
2015-12-31,4129462
2016-01-31,3749417
2016-02-29,3543751
2016-03-31,4138030
