activity_period,adjusted_passenger_count
2005-08-31,-30679.0
2005-09-30,-459599.0
2005-10-31,33961.0
2005-11-30,-159849.0
2005-12-31,57453.0
2006-01-31,-224372.0
2006-02-28,-224457.0
2006-03-31,491475.0
2006-04-30,53683.0
2006-05-31,53987.0
2006-06-30,245437.0
2006-07-31,157071.0
2006-08-31,-83882.0
2006-09-30,-426707.0
2006-10-31,113626.0
2006-11-30,-180508.0
2006-12-31,45993.0
2007-01-31,-190394.0
2007-02-28,-203514.0
2007-03-31,520622.0
2007-04-30,47302.0
2007-05-31,189021.0
2007-06-30,206265.0
2007-07-31,118193.0
2007-08-31,54990.0
2007-09-30,-486206.0
2007-10-31,173056.0
2007-11-30,-211850.0
2007-12-31,-17657.0
2008-01-31,-231883.0
2008-02-29,-71526.0
2008-03-31,533121.0
2008-04-30,-98965.0
2008-05-31,273378.0
2008-06-30,145145.0
2008-07-31,155223.0
2008-08-31,8078.0
2008-09-30,-616993.0
2008-10-31,120370.0
2008-11-30,-381259.0
2008-12-31,218915.0
2009-01-31,-316002.0
2009-02-28,-286078.0
2009-03-31,567510.0
2009-04-30,98934.0
2009-05-31,150983.0
2009-06-30,245901.0
2009-07-31,227361.0
2009-08-31,-92.0
2009-09-30,-460333.0
2009-10-31,59964.0
2009-11-30,-279497.0
2009-12-31,104223.0
2010-01-31,-287170.0
2010-02-28,-271806.0
2010-03-31,593604.0
2010-04-30,33048.0
2010-05-31,239302.0
2010-06-30,235558.0
2010-07-31,152685.0
2010-08-31,6389.0
2010-09-30,-417931.0
2010-10-31,134860.0
2010-11-30,-330218.0
2010-12-31,5039.0
2011-01-31,-283124.0
2011-02-28,-274779.0
2011-03-31,519896.0
2011-04-30,70100.0
2011-05-31,348832.0
2011-06-30,219398.0
2011-07-31,169600.0
2011-08-31,-16338.0
2011-09-30,-357148.0
2011-10-31,38161.0
2011-11-30,-276893.0
2011-12-31,116019.0
2012-01-31,-232220.0
2012-02-29,-212836.0
2012-03-31,475314.0
2012-04-30,88395.0
2012-05-31,255859.0
2012-06-30,286979.0
2012-07-31,177775.0
2012-08-31,72283.0
2012-09-30,-531011.0
2012-10-31,18292.0
2012-11-30,-367228.0
2012-12-31,-33656.0
2013-01-31,-239410.0
2013-02-28,-240405.0
2013-03-31,631017.0
2013-04-30,9575.0
2013-05-31,325356.0
2013-06-30,220254.0
2013-07-31,25962.0
2013-08-31,169986.0
2013-09-30,-565622.0
2013-10-31,140962.0
2013-11-30,-455959.0
2013-12-31,348794.0
2014-01-31,-381140.0
2014-02-28,-356290.0
2014-03-31,689728.0
2014-04-30,115808.0
2014-05-31,264021.0
2014-06-30,175816.0
2014-07-31,178999.0
2014-08-31,19708.0
2014-09-30,-606441.0
2014-10-31,140399.0
2014-11-30,-430765.0
2014-12-31,227789.0
2015-01-31,-305836.0
2015-02-28,-302538.0
2015-03-31,754198.0
2015-04-30,20038.0
2015-05-31,338852.0
2015-06-30,198018.0
2015-07-31,242791.0
2015-08-31,-4947.0
2015-09-30,-595602.0
2015-10-31,173195.0
2015-11-30,-360689.0
2015-12-31,115074.0
2016-01-31,-380045.0
2016-02-29,-205666.0
2016-03-31,594279.0
